# claude-progress.txt — myaudio

---

[2026-06-08] [Init] 프로젝트 하네스 문서 초기화 (CLAUDE.md, AGENTS.md, HARNESS.md, CONVENTIONS.md, PRODUCT_BRIEF.md, feature_list/)
[2026-06-08] [Cursor] SETUP-000 progress 헤더 myaudio 수정, .gitignore .env.local 명시 | passes: 변경 없음
[2026-06-08] [Cursor] /headfi/match 기기 선택 2열·고정높이 스크롤·컴팩트 카드 UI | passes: 변경 없음
[2026-06-08] [Cursor] /headfi/match 추천 받기 버튼 2열 사이 중앙 배치 | passes: 변경 없음
[2026-06-08] [Cursor] /headfi/match 추천 받기 버튼 2열 아래 중앙·px-16 배치 | passes: 변경 없음
[2026-06-08] [Cursor] /headfi/match 추천 앨범 클릭 시 전체 앨범 조회 후 상세 모달 표시 | passes: 변경 없음
[2026-06-08] [Cursor] GEAR-008 기기 궁합 분석 모달·/api/headfi-match-score·상단 버튼 레이블 수정 | passes: 변경 없음
[2026-06-08] [Cursor] GEAR-008 headfi_match_cache 캐싱·재분석(force)·헤드폰 기준만 | passes: 변경 없음
[2026-06-08] [Cursor] GEAR-008 캐시 전체 조회·cacheOnly 프리로드·재분석 confirm | passes: 변경 없음
[2026-06-08] [Cursor] 앨범 상세 무드 그라디언트·오디오태그 스타일 이관, 신규 등록 후 album-intro·album-mood-groups fire-and-forget, Gemini 태그 구문 프롬프트 수정 | passes: 변경 없음
[2026-06-09] [Cursor] fix: 신규 앨범 무드 분류 — album-mood-assign API 추가·intro 완료 후 기존 그룹 album_ids에 추가·mood_name 갱신 | passes: 변경 없음
[2026-06-09] [Cursor] fix: 신규 등록 무드 분류 전체 재생성 제거·단일 assign만·모달 mood_name 그라디언트 표시 | passes: 변경 없음
[2026-06-09] [Cursor] ALBUM-009 장르보드 뷰·genre1 카드 그리드·펼침 UX·미분류 그룹·무드보드 공통 UI 재사용 | passes: 변경 없음
[2026-06-09] [Cursor] headfi-match-score Gemini 프롬프트 고도화·googleSearch 그라운딩 | passes: 변경 없음
[2026-06-09] [Cursor] fix: 무드/장르 상세 커버 배지 — release_date 발매연도 표시·All Time 병렬 배지 | passes: 변경 없음
[2026-06-09] [Cursor] style: 대시보드 상단 3열 — 보유기기 3x3·카드 높이 h-72 통일 | passes: 변경 없음
[2026-06-12] [Cursor] feat: 기기매칭 DAC/AMP/DAP·헤드폰/이어폰 기준 확장·라벨 변경 | passes: 변경 없음
[2026-06-12] [Cursor] feat: 앨범 매칭 DAC/AMP/DAP 선택 확장 | passes: 변경 없음
[2026-06-12] [Cursor] feat: 헤드파이 등록폼 매칭(DAC/AMP/DAP) DAP 포함 | passes: 변경 없음
[2026-06-12] [Cursor] fix: 헤드파이 모달 유선 이어폰 gain 표시 | passes: 변경 없음
[2026-06-12] [Cursor] feat: 유선 이어폰 폼 이어팁 필드·볼륨 제거·레이아웃 조정 | passes: 변경 없음
[2026-06-12] [Cursor] fix: 헤드파이 모달 기타 항목 미입력 시 미표시 (전 카테고리) | passes: 변경 없음
[2026-06-12] [Cursor] fix: 헤드파이 모달 감도 표시 — db1 없을 때 - 접두 제거 | passes: 변경 없음
[2026-06-12] [Cursor] fix: 소비 통계에 이어팁 가격(eartip_price) 합산 포함 | passes: 변경 없음
260612_0954 코드 품질 진단 완료 — feedback.md 작성 (코드 수정 없음)
[2026-06-09] [Cursor] BUG-001 searchMusicBrainz try/catch·JSON 파싱·User-Agent MUSICBRAINZ_CONTACT_EMAIL env | passes: 변경 없음
[2026-06-12] [Cursor] BUG-002 albums/headfi/lyrics/headfi/match page.tsx use client 제거·서버 컴포넌트 전환 | passes: 변경 없음
[2026-06-12] [Cursor] BUG-003 parseFrInterpretationSummary 통합·shuffleArray(Fisher-Yates) 헬퍼 추가 | passes: 변경 없음
[2026-06-12] [Cursor] BUG-004 AlbumDetailModal/HeadfiDetailModal 섹션 분리·useAlbumFilters 훅 추출 | passes: 변경 없음
[2026-06-12] [Cursor] fix: searchMusicBrainz throw 제거·{ error } 반환으로 Server Components render 에러 해결 | passes: 변경 없음
[2026-06-12] [Cursor] fix: searchMusicBrainz MUSICBRAINZ_CONTACT_EMAIL 미설정 시 로그인 사용자 이메일 fallback | passes: 변경 없음
[2026-06-12] [Cursor] style: HeadfiInfoSection 메모를 상세 스펙 펼침 영역 하단으로 이동 | passes: 변경 없음
[2026-06-12] [Cursor] fix: 대시보드 이번달 청취 listened_at 내림차순 정렬·상세 모달 정보 수정 폼 인라인 오픈 | passes: 변경 없음
[2026-06-12] [Cursor] fix: 대시보드 수정 폼 저장 후 재조회 제거·폼 닫기·router.refresh로 로딩 멈춤 해결 | passes: 변경 없음
[2026-06-12] [Cursor] style: Archive 월 상세 등록 기기 섹션을 감상 앨범 위로 이동 | passes: 변경 없음
[2026-06-12] [Cursor] feat: 대시보드 보유기기·이번달 청취 배지 클릭 시 headfi/archive 월 상세 이동 | passes: 변경 없음
[2026-06-12] [Cursor] feat: ALBUM-010 앨범 상세 모달 3탭(앨범 정보/추천 헤드폰/청취 이력) 재구성 | passes: 변경 없음
260612_1009 BUG-001~004 검수 통과 — BUG.json passes 4건 true 변경, 빌드 통과 확인
[2026-06-12] [Cursor] feat: 앨범 상세 추천 헤드폰 탭 UI 개선·수동 2순위 읽기전용·/api/album-headphone-recommend AI 새로고침 | passes: 변경 없음
[2026-06-12] [Cursor] feat: 청취 이력 탭 DAC/AMP·헤드폰 기록·목록 표시·헤드파이 모달 연동 | passes: 변경 없음
[2026-06-12] [Cursor] style: 청취 이력 입력 폼 3행 레이아웃·소감 textarea | passes: 변경 없음
[2026-06-12] [Cursor] feat: 청취 이력 입력 폼 기본 숨김·+ 토글·저장 후 자동 닫힘 | passes: 변경 없음
[2026-06-12] [Cursor] style: 추천 헤드폰 탭 카드 썸네일·가로 레이아웃(내 매칭·AI 추천) | passes: 변경 없음
[2026-06-12] [Cursor] fix: album-headphone-recommend AI 추천 대상 헤드폰만(이어폰 제외) | passes: 변경 없음
[2026-06-12] [Cursor] fix: AI 추천 카드 1개만 표시 — stale prop 조기 return 수정·Gemini 2개 id 검증·프롬프트 강화 | passes: 변경 없음
[2026-06-12] [Cursor] fix: AI 추천 reason 헤드폰명 뒤 (id) 표시 제거 | passes: 변경 없음
[2026-06-12] [Cursor] feat: GEAR-009 HeadfiDetailModal 3탭(기본 정보/FR 그래프/추천 앨범) 재구성 | passes: 변경 없음
[2026-06-12] [Cursor] feat: GEAR-010 추천 앨범 탭 AI/등록 앨범 2섹션·/api/headfi-album-recommend | passes: 변경 없음
[2026-06-12] [Cursor] style: HeadfiDetailModal 탭을 기본 정보 히어로 하단으로 이동(AlbumDetailModal 구조 통일) | passes: 변경 없음
[2026-06-12] [Cursor] feat: HeadfiDetailModal 상세 스펙 기본 펼침·청음 평가 헤드폰 전용 탭 분리 | passes: 변경 없음
[2026-06-12] [Cursor] feat: GEAR-011 청음 평가 AI 분석·/api/headfi-sound-analysis | passes: 변경 없음
[2026-06-12] [Cursor] feat: headfi-album-recommend 헤드폰 ai_sound_analysis 프롬프트 반영 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 헤드파이 모달 오픈 시 페이지 스크롤 top 이동 방지 (앨범 화면과 동일) | passes: 변경 없음
[2026-06-08] [Cursor] fix: headfi-album-recommend reason에 album_id 노출 방지 프롬프트·album_name 목록 추가 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 아카이브 월별 감상앨범 카드에 DAC/AMP·헤드폰 모델 표시 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-011 Phase1 Artists 페이지 기본 골격 (목록/상세·필터·모달) | passes: 변경 없음
[2026-06-08] [Cursor] fix: Artists 앨범 모달 오픈 시 aiRecommendedHeadphones 기본값 무한 렌더 수정 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-011 Phase2 Artists bio·Wikipedia·외부링크·/api/artist-bio | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-011 Phase3 Artists 인기앨범·관련아티스트·청취 통계 | passes: 변경 없음
[2026-06-08] [Cursor] feat: Artists 상세 프로필 이미지 표시·URL 편집 저장 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 상세 기본정보 레이아웃 (프로필 132px·통계 하단 정렬) | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 프로필 이미지 hover 오버레이·모바일 탭 편집 UX | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 외부 링크 아이콘을 국적·타입 라인 우측으로 이동 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 외부 링크 원형 버튼·surface-elevated 배경 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 링크 편집 버튼을 이름 라인 우측·아이콘만 표시 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 관련 아티스트 카드·등록앨범 하단 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 등록앨범 연도배지 제거·발매일 표시 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 유사한 아티스트 가로 스크롤·세로 원형 레이아웃 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 좌측 필터 pill 2x2·정렬 옵션 추가 | passes: 변경 없음
[2026-06-08] [Cursor] feat: Artists 유사 아티스트 genre1/2·타입 스코어링 | passes: 변경 없음
[2026-06-08] [Cursor] feat: Artists 유사 아티스트 스코어링 country +1점 추가 | passes: 변경 없음
[2026-06-08] [Cursor] fix: Artists 앨범 모달 내 수정 폼 연동 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 앨범 모달 아티스트명 → Artists 페이지 딥링크 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 대시보드 Summary 타이틀 새로고침 버튼 | passes: 변경 없음
[2026-06-08] [Cursor] chore: 작업 완료 후 dev 재시작 금지·build만 확인 규칙 반영 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 외부 링크 브랜드 SVG·순서 변경 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 등록 앨범 2줄 제목 시 썸네일 정렬 어긋남 수정 | passes: 변경 없음
[2026-06-08] [Cursor] style: 등록 앨범 All Time 커버 왕관 배지 | passes: 변경 없음
[2026-06-08] [Cursor] style: All Time 왕관 배지 오렌지 배경 | passes: 변경 없음
[2026-06-08] [Cursor] style: All Time 왕관 배지 검정 배경 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 앨범 상세 청취 이력 기기 필터 카테고리·보유중 확장 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 헤드파이 상세 청음 평가 탭 유선 이어폰 포함 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 등록 앨범 제목·발매일 간격 — min-h 제거 | passes: 변경 없음
[2026-06-08] [Cursor] feat: Artists 앨범 모달에서 삭제 가능 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 헤드파이 폼·상세 유닛 필드 추가 | passes: 변경 없음
[2026-06-08] [Cursor] style: 헤드파이 폼 유닛·기타 행을 케이블 아래로 이동 | passes: 변경 없음
[2026-06-08] [Cursor] style: 헤드파이 폼 임피던스·감도 3열 한 줄 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 헤드파이 폼 임피던스 50%·감도 25% 비율 조정 | passes: 변경 없음
[2026-06-08] [Cursor] style: 헤드파이 폼 볼륨·구동·온도·밝기 4열 한 줄 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 헤드파이 상세 스펙 임피던스·감도·음색 3:7 비율 | passes: 변경 없음
[2026-06-08] [Cursor] feat: GEAR-012 헤드파이 소비 통계 모달 | passes: 변경 없음
[2026-06-08] [Cursor] style: 소비 통계 모달 연도 차트 제거·월별 차트 확대 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 소비 통계 버튼 로그인 시에만 노출 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 소비 통계 모달 열림 시 배경 스크롤 잠금 | passes: 변경 없음
[2026-06-08] [Cursor] feat: HeadfiForm 카테고리별 필드 분기(스피커/DAP/무선매칭 등) | passes: 변경 없음
[2026-06-08] [Cursor] style: DAC/AMP 폼 Vrms(BAL/Single) 한 줄 배치 | passes: 변경 없음
[2026-06-08] [Cursor] fix: HeadfiInfoSection 카테고리별 상세 스펙·특징 표시 | passes: 변경 없음
[2026-06-08] [Cursor] style: 무선 헤드폰/이어폰 상세 유닛 필드 전체 너비 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 무선 헤드폰/이어폰 매칭 ID→브랜드+모델명 표시 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 스피커 타입2 선택항목 '스마트' 추가 | passes: 변경 없음
[2026-06-08] [Cursor] feat: Artists 등록 앨범 섹션 앨범 등록(+버튼·AlbumForm) | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 타이틀 라인 필터링된 아티스트 수 뱃지 | passes: 변경 없음
[2026-06-08] [Cursor] style: Artists 모바일·태블릿 목록/상세 탭 숨김 | passes: 변경 없음
[2026-06-08] [Cursor] feat: Artists 앨범 등록 폼 초기값에 장르1 추가 | passes: 변경 없음
[2026-06-08] [Cursor] chore: mood_name null 앨범 62건 일괄 무드 분류 마이그레이션 스크립트 실행 완료 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 아티스트 소개 Gemini 응답 한국어 강제 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 앨범 등록 앨범 타입 OST 추가 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 아티스트 구분 '걸스 밴드' 추가 | passes: 변경 없음
[2026-06-08] [Cursor] fix: Artists 타입 필터 고정 옵션(걸스 밴드 등) 항상 표시 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 앨범 모달 청취 이력 탭 건수 표시 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 헤드파이 모달 DAP 매칭 모델 표시 (DAC/AMP 동일) | passes: 변경 없음
[2026-06-08] [Cursor] style: 앨범 모달 청취 이력 탭 건수 badge 태그 표시 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 앨범 연도 셀렉트 구간 필터 (2020~2024, 2010~2019 등) | passes: 변경 없음
[2026-06-08] [Cursor] GEAR-013 /headfi/map 포지션맵 SVG·매칭맵 히트맵·/api/headfi-position·신규등록 자동좌표 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 포지션맵 유선만·미분석/점 인터랙션·전체새로고침 plotted만 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 축 레이블 밖 배치·전체새로고침 버튼/오버레이 로딩 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 축 레이블 상하좌우 분리·기기명 모델만 표시 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 포지션맵 보유상태·카테고리 필터 토글 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 축 레이블 absolute 배치 (상하좌우 중앙) | passes: 변경 없음
[2026-06-08] [Cursor] refactor: 매칭맵 행=헤드폰·열=DAC/DAP 전환 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 높이 제한 제거·셀 상세 모달 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 모달 닫기 버튼 타이틀 상단 우측 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 스코어 모달 상단 여백·닫기 코너 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 테이블 스코어 셀 열 헤더 중앙 정렬 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 매칭맵 헤드폰·이어폰 카테고리 필터 추가 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 테이블 열·행 헤더 sticky 및 배경 분리 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 필터를 맵 카드 내부 상단으로 이동 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 카테고리 필터를 소개 텍스트 우측 정렬 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 도트 type1별 색상 구분 및 범례 추가 | passes: 변경 없음
[2026-06-08] [Cursor] style: /headfi/map 헤더를 /headfi/match와 동일 구성으로 변경 | passes: 변경 없음
[2026-06-08] [Cursor] style: 헤드파이 목록 헤더 모바일에서 버튼 타이틀 하단 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 범례 맵 우측 하단 오버레이 배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 SVG 높이 2배·full width·좌표 스프레드 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 SVG 세로 높이 절반으로 축소 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 포지션맵 경계 패딩·겹침 레이블 오프셋 분리 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 신규 앨범 저장 시 mood-assign을 album-intro와 독립 호출 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 포지션맵 클러스터링·hover 툴팁·클릭 팝오버 전환 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 팝오버 1뎁스·아이콘 액션 레이아웃 통일 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 범례 글씨 크기 소폭 확대 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 포지션맵 툴팁 hover 영역·닫힘 딜레이 개선 | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 축 라벨 맵 가장자리에 밀착 | passes: 변경 없음
[2026-06-08] [Cursor] fix: headfi-position X축 warm↔cool 프롬프트·맵 레이블 수정 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 매칭맵 빈 셀 클릭 시 단일 조합 자동 분석·즉시 반영 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 스코어 4구간(1~199·200~239·240~269·270~300) 셀 색상 구분 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 상위 구간(240~269·270~300) 색상 대비 개선 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-012 앨범 통계 페이지·청취 랭킹 TOP20 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-012 연월 필터·랭킹 클릭 모달(앨범/아티스트) | passes: 변경 없음
[2026-06-08] [Cursor] style: 앨범 통계 연도·월 필터 한 줄 배치 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-014 금주의 핫 앨범 TOP5·1위 강조 섹션 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 청취 랭킹 TOP10·동점 시 발매일 최신순 정렬 | passes: 변경 없음
[2026-06-08] [Cursor] chore: build:check 분리 distDir로 dev·build 캐시 충돌 방지 | passes: 변경 없음
[2026-06-08] [Cursor] style: 금주 핫앨범 1위 카드 앨범 모달 커버 블러 배경 통일 | passes: 변경 없음
[2026-06-08] [Cursor] style: 금주 핫앨범 1위 카드 커버 full-width 확대·레이아웃 재배치 | passes: 변경 없음
[2026-06-08] [Cursor] style: 금주 핫앨범 1위 카드 커버·높이 2~5위 열과 균형 조정 | passes: 변경 없음
[2026-06-08] [Cursor] style: 금주 핫앨범 1위 full-bleed 커버·하단 텍스트 오버레이 레이아웃 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 금주 핫앨범 집계 월~일 고정 → 오늘 기준 롤링 7일 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-013 랭킹/청취 추이 탭 분리·SVG 기간별 청취 그래프 | passes: 변경 없음
[2026-06-08] [Cursor] style: 청취 추이 차트 flex+CSS 텍스트로 크기 균형 조정 | passes: 변경 없음
[2026-06-08] [Cursor] style: 앨범 통계 탭 UI 포지션맵 하단 보더 스타일로 통일 | passes: 변경 없음
[2026-06-08] [Cursor] feat: GEAR-014 포지션맵 기기 선택 팝오버·체크박스 필터 | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 히트맵 점수 컬럼 균등 폭(table-fixed+colgroup) | passes: 변경 없음
[2026-06-08] [Cursor] style: 매칭맵 히트맵 w-full·점수컬럼 균등 분배·minWidth 스크롤 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 매칭맵 thead sticky top-14 제거·헤더 행 위치 복구 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 매칭맵 overflow-y-clip+sticky top-14로 세로 스크롤 헤더 고정 복원 | passes: 변경 없음
[2026-06-08] [Cursor] refactor: 매칭맵 표 박스 내부 스크롤+sticky top-0/left-0 구조 | passes: 변경 없음
[2026-06-08] [Cursor] fix: BUG-005 스피커 등 부가비용 세부 집계 누락 수정 | passes: 변경 없음
[2026-06-08] [Cursor] refactor: ALBUM-015 useAlbumMutations 훅으로 앨범 CRUD 중복 제거 | passes: 변경 없음
[2026-06-08] [Cursor] feat: GEAR-025 청취 이력 수정 — 등록 폼 재사용·update 저장 | passes: 변경 없음
260612_1326 ALBUM-012~014·GEAR-014·매칭맵 검수 완료 — feedback.md 정리, 빌드 통과, passes 4건 true 유지(코드 수정 없음)
[2026-06-08] [Cursor] refactor: GEAR-015 PositionMapTab 책임 단위 분리(훅·필터·산점도·미분석 목록) | passes: 변경 없음
[2026-06-08] [Cursor] refactor: GEAR-016 HeadfiForm 책임 단위 분리(타입·유틸·공통필드·카테고리별 섹션) | passes: 변경 없음
[2026-06-08] [Cursor] chore: 미사용 eslint-disable 제거·exhaustive-deps 6건 정리(의도 주석 5건·ArtistProfileImage deps 수정 1건) | passes: 변경 없음
[2026-06-08] [Cursor] style: 포지션맵 기기선택 팝오버 다크모드 체크 상태 대비 개선 | passes: 변경 없음
[2026-06-08] [Cursor] style: 앨범 메뉴 상단 버튼 모바일 레이아웃 헤드파이 패턴 적용 | passes: 변경 없음
[2026-06-08] [Cursor] style: 앨범 직접등록(+) 버튼 타이틀 아래 버튼 행으로 이동 | passes: 변경 없음
[2026-06-08] [Cursor] feat: ALBUM-016 앨범 통계 랭킹 탭 최다 청취 기기 TOP20 섹션 추가 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 앨범 통계 최다 청취 기기 모달에서 HeadfiForm 인라인 수정 | passes: 변경 없음
[2026-06-08] [Cursor] feat: 최다 청취 기기 카테고리 필터에 무선헤드폰·무선이어폰 옵션 추가 | passes: 변경 없음
[2026-06-08] [Cursor] fix: 최다 청취 기기 헤드폰·이어폰 필터를 유선 카테고리만 집계하도록 수정 | passes: 변경 없음
